WS2M,PRECTOTCORR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,WS10M,ALLSKY_SFC_SW_DWN,TS,T2M,WS50M,PS,QV2M,ALLSKY_SFC_UV_INDEX
2.02,0.14,143.53,156.9,3.34,7.48,17.55,17.77,4.77,100.34,9.77,2.38
2.3,0.01,129.65,158.93,3.72,6.75,17.55,17.55,5.12,100.04,9.52,2.16
2.05,0,119.7,155.43,3.26,6.29,15.11,14.48,4.33,99.9,8.42,1.98
3.33,0.03,101.27,155.39,5.06,5.38,14.07,13.52,6.6,100,7.63,1.63
2.37,0.02,104.98,157.63,3.57,5.57,14.3,13.58,4.57,100.22,7.51,1.55
2.58,0,117.91,157.13,4.01,6.24,14.5,14.25,5.45,100.32,7.75,1.74
2.18,0,154,158.55,3.55,8.21,17.37,17.97,5.01,100.41,8.36,2.44
2.27,0,158.52,161.8,3.76,8.51,18.48,19.44,5.37,100.32,8.85,-999
2.74,0,162.38,162.73,4.38,8.95,16.34,16.33,5.93,100.07,7.45,2.71
2.8,0,159.72,161.61,4.39,8.81,14.8,14.47,5.93,99.95,6.77,2.53
3.4,0,161.85,162.73,5.56,8.95,14.87,15.31,8.09,100.07,5.19,2.47
3.1,0.01,162.71,163.12,5.42,9.01,15.91,16.99,8.52,100.22,5.25,2.49
2.13,0,161.62,162.13,3.92,8.92,17.71,19.55,6.26,99.95,6.04,2.36
1.55,0,128.58,159.16,2.73,6.86,17.3,18.46,3.81,100,6.77,-999
2.07,0.01,107.42,158.12,3.42,5.58,14.27,13.61,4.49,100.36,7.81,1.8
2.88,0,101.3,159.2,4.45,5.3,13.37,12.5,5.75,100.53,7.02,1.81
3.23,0,154.49,162.43,4.96,8.43,14.12,13.48,6.51,100.54,7.14,2.58
3.06,0,161.59,162.88,4.77,8.91,14.46,13.89,6.33,100.53,7.08,2.62
3.16,0,163.47,164.6,4.95,8.79,14.75,14.3,6.64,100.65,7.26,2.69
3.26,0.03,159.76,162.62,5.27,8.43,16.2,16.19,7.3,100.6,7.93,2.69
3.09,0.08,135.11,163.09,5.05,6.96,16.53,16.42,6.95,100.38,8.91,2.33
2.68,0,161.75,163.62,4.24,8.69,16.59,16.47,5.58,99.98,7.45,2.65
2.83,0.09,97.5,162.13,4.39,5.03,15.08,14.47,5.69,99.99,7.69,1.69
2.73,0.08,75.73,160.71,4.29,3.83,14.12,13.44,5.65,100.4,7.63,1.34
2.27,0.13,94.66,159.59,3.64,4.85,14.74,14.17,4.73,100.67,7.81,1.61
2.94,0.01,132.77,159.53,4.65,6.99,15.02,14.65,6.13,100.51,7.63,2.15
1.92,0.01,112,160.26,3.09,5.82,15.89,15.53,4.09,100.39,7.69,1.86
1.91,0.01,109.46,160.73,3.15,5.64,15.26,14.9,4.2,100.33,8.18,1.77
2.44,0.02,96.32,158.46,3.96,4.93,14.82,14.44,5.32,100.41,8.3,1.62
2.71,0.04,120.84,159.73,4.34,6.21,16.25,15.88,5.83,100.35,8.67,1.99
3.16,0.02,136.2,162.07,5,7.19,15.26,15.01,6.67,100.25,8.18,2.29
3.12,0.01,135.86,160.35,5.12,7.01,17.05,17.07,7.23,100.39,9.22,2.27
2.47,0,162.47,162.77,4.09,8.79,18.15,18.44,5.82,100.32,8.06,2.62
1.43,0,157.23,158.3,2.45,8.47,19.08,20.07,3.41,100.23,7.51,2.51
2.05,0.01,107.8,153.23,3.45,5.63,15.76,15.23,4.68,100.43,8.12,1.78
2.81,0,136.38,160.15,4.46,7.29,16.05,15.58,5.94,100.33,7.57,2.19
2.71,0,158.57,162.52,4.2,8.47,16.24,15.73,5.46,100.19,7.39,2.58
2.5,0,124.18,162.16,3.9,6.47,16.08,15.39,5.01,100.22,7.69,2.2
2.77,0,152.84,161.58,4.39,8.09,16.58,16.15,5.85,100.36,7.75,2.62
3.28,0.01,143.16,162.53,5.34,7.45,16.24,16.02,7.45,100.67,8.61,2.52
2.3,0,156.99,163.28,3.76,8.54,18.23,18.51,5.3,100.68,7.2,2.62
1.85,0,162.75,163.12,3.23,8.81,19.71,20.58,4.8,100.29,7.32,2.7
1.91,0,129.83,157.93,3.27,6.85,19.87,20.1,4.48,100.11,7.81,-999
1.97,0,108.52,150.92,3.37,5.71,17.14,16.9,4.45,100.17,8.91,1.91
1.75,0.01,110.21,149.77,3.04,5.65,17.45,17.12,4.07,100.19,9.09,1.94
2.23,0.01,112.7,153.48,3.66,5.73,17.24,16.57,4.75,100.1,8.79,2.02
2.81,0,141.51,157.3,4.38,7.62,16.7,15.94,5.6,100.02,7.87,2.44
2.48,0,94.55,158.85,3.87,4.89,14.89,14.02,4.98,100.28,7.81,1.71
1.88,0.01,104.93,157.51,3.09,5.49,15.42,14.69,4.1,100.35,7.93,1.85
2.15,0.02,108.43,155.44,3.41,5.59,16.07,15.37,4.48,100.42,8.12,1.86
2.23,0.02,112.92,156.32,3.56,5.89,16.12,15.38,4.69,100.46,8.42,1.93
1.86,0.01,131.52,155.29,3,6.96,17.26,16.73,3.99,100.22,8.48,2.13
1.88,0,109.91,154.54,3.12,5.72,16.58,15.89,4.24,100.18,8.18,1.9
2.15,0,114.06,151.84,3.62,5.99,15.33,14.85,5.16,100.42,8.42,1.86
2.07,0,133.95,154.23,3.52,7.19,16.12,15.53,5.03,100.46,8.18,2.18
1.98,0,145.66,154.48,3.22,7.84,15.83,15.03,4.51,100.62,8.24,2.39
2.2,0,147.63,156,3.56,7.97,16.43,15.69,4.88,100.87,7.75,2.48
2.48,0,113.95,155.2,3.87,5.99,16.4,15.56,5.12,100.8,8.24,2.06
1.98,0.01,122.06,152.55,3.18,6.45,17.99,17.26,4.12,100.39,8.42,2.21
2.05,0,101.44,139.69,3.37,5.41,17.65,16.89,4.43,100.24,9.28,1.61
2,0,109,137.98,3.4,5.78,17.03,16.46,4.8,100.64,9.16,1.74
2.16,0.01,102.02,133.84,3.55,5.36,17.15,16.5,4.77,100.63,9.16,1.64
2.08,0.02,95.8,139,3.29,4.97,16.93,16.33,4.28,100.42,9.16,1.61
1.87,0.02,114.74,146.79,2.99,5.95,17.58,16.74,3.96,100.53,9.46,2.07
2.13,0.03,99.31,149.8,3.41,5.02,17.76,16.92,4.48,100.39,9.64,1.89
2.23,0.07,100.62,147.54,3.45,5.15,17.01,16.14,4.42,100.22,9.03,1.85
2.59,0.01,72.68,143.35,3.98,3.7,16.32,15.43,5.19,100.45,8.42,1.36
2.86,0.01,119.49,146.48,4.36,6.37,16.65,15.86,5.73,100.64,7.87,2.01
3.4,0,149.67,150.41,5.24,8.18,16.95,16.47,6.99,100.46,7.32,2.35
2.8,0,148.29,149.15,4.27,8.14,16.53,15.88,5.59,100.54,7.08,2.32
1.93,0,145.76,147.98,3.11,7.99,18.35,18.76,4.44,100.66,6.41,2.24
1.53,0,145.93,146.78,2.65,8.02,20.26,21.24,3.95,100.7,5.55,2.22
1.16,0,136.75,141.45,2.13,7.54,21.26,22.79,3.12,100.45,5.98,2.18
1.64,0,121.75,139.2,2.77,6.69,19.96,20.1,3.84,100.19,7.51,1.99
1.75,0,118.95,143.5,2.84,6.39,18.99,18.33,3.78,100.19,8,2.07
2.09,0,107.61,141.08,3.23,5.69,18.34,17.34,4.17,100.14,8.3,1.87
2.14,0,90.47,134.12,3.34,4.76,17.95,17.01,4.31,100.19,8.54,1.53
2.28,0,90.21,132.52,3.6,4.76,17.95,17.23,4.69,100.19,9.22,1.51
2.15,0.01,86.76,134.27,3.35,4.53,17.77,16.88,4.31,100.1,9.28,1.44
2.11,0,81.02,130.73,3.24,4.33,17.34,16.32,4.11,100.31,9.09,1.32
2.67,0,91.17,137.57,3.99,4.87,16.67,15.61,5.06,100.29,8.3,1.59
2.22,0,94.09,137.04,3.37,4.95,16.85,15.85,4.25,100.06,8.06,1.62
3.32,0.01,58.39,136.45,4.91,2.96,15.52,14.34,6.06,100.08,7.81,1.1
2.52,0.01,130.44,137.1,3.84,7.11,16.53,15.76,5.09,100.21,7.75,2.03
2.11,0,106.83,137.91,3.21,5.68,16.25,15.44,4.07,100.35,7.63,1.66
2.62,0.01,72.24,135.18,3.97,3.69,14.8,13.8,5.1,100.7,7.93,1.2
2.73,0.1,67.07,133.65,4.1,3.44,15.02,14.03,5.15,100.86,7.69,1.15
2.46,0.07,73.78,133.88,3.81,3.81,15.69,14.96,5.04,100.74,8,1.32
2.23,0.03,96.73,134.51,3.47,5.08,16.52,15.92,4.64,100.74,7.87,1.65
2.1,0,123.02,132.93,3.37,6.66,18.58,18.94,4.63,100.53,7.08,1.88
1.8,0,130.82,131.52,3.11,7.18,20.37,21.75,4.6,99.89,6.47,1.91
1.67,0,87.25,127.8,2.91,4.55,17.98,17.76,3.97,99.83,8.36,-999
1.65,0.01,80.26,124.89,2.77,4.22,16.63,16.1,3.71,100.14,9.09,1.28
1.54,0.01,79.17,125.9,2.52,4.09,16.05,15.33,3.47,100.22,8.12,1.23
1.15,0.02,95.3,128.11,1.97,4.99,18.13,18.29,2.76,100.38,7.87,1.45
1.38,0.01,120.62,128.16,2.41,6.56,19.62,20.37,3.59,100.43,6.9,1.75
1.62,0,128.8,129.23,2.82,7.06,19.18,19.28,4.16,100.14,7.2,1.88
2.2,0.04,87.02,127.15,3.52,4.48,17.18,16.6,4.76,100.05,8.73,1.4
2.91,0,125.19,126.59,4.47,6.76,16.37,15.73,5.88,100.4,7.45,1.81
2.77,0,119.9,125.58,4.37,6.43,16.05,15.62,6.05,100.53,7.57,1.78
2.58,0.1,111.47,128.28,4.11,5.94,15.43,15.01,5.96,100.34,8.18,1.66
2.29,0.03,103.19,126.55,3.51,5.52,15.96,15.18,4.73,100.33,7.39,1.44
1.98,0,123.88,125.3,3.12,6.81,17.02,16.8,4.39,100.61,6.71,1.55
1.54,0,123.37,123.71,2.54,6.77,18.83,19.54,3.74,100.55,6.1,1.66
1.16,0,119.74,121.63,1.97,6.59,19,20.04,2.8,100.16,6.47,1.67
1.5,0.01,87.66,119.09,2.43,4.61,17.84,17.81,3.29,100.05,7.69,1.36
2,0.02,80.2,119.42,3.16,4.21,16.51,15.83,4.2,100.26,8,1.33
2.06,0.02,77.56,118.62,3.23,4.09,15.83,15.18,4.45,100.28,8,1.28
2.27,0.01,89.05,117.61,3.58,4.77,16.44,16.05,5.01,100.3,8.12,1.42
3.05,0,106.2,118.82,4.8,5.62,16.4,16.12,6.68,100.33,9.4,1.52
2.52,0.01,109.55,117.52,3.92,5.8,17.12,16.64,5.38,100.4,8.79,1.38
3.03,0.01,112,117.78,4.78,5.94,17.52,17.4,6.66,100.19,8.91,1.55
1.97,0.01,116.54,117.54,3.42,6.29,19.47,20.68,5.43,99.92,7.32,1.61
1.4,0,112.88,114.12,2.6,6.15,20.18,22.05,4.03,99.89,5.37,1.59
1.16,0,111.91,112.84,2.08,6.11,19.01,19.65,3.02,99.95,6.65,1.55
1.49,0,83.71,112.19,2.53,4.39,18.37,18.38,3.56,100.26,8,1.27
1.76,0,92.58,111.88,2.9,4.91,18.64,18.45,4.17,100.43,8.36,1.46
1.63,0,92.84,111.09,2.8,5,19.04,19.25,4.28,100.19,7.63,1.44
1.52,0,79.12,110.45,2.55,4.15,17.76,17.74,3.7,99.93,7.93,1.24
1.54,0.01,78.13,109.2,2.49,4.08,17.59,17.3,3.38,99.91,8.12,1.2
2.24,0.02,62.61,107.64,3.49,3.25,15.8,15.12,4.72,99.86,8.73,1
1.86,0.03,43.1,103.46,2.88,2.17,15.43,14.87,3.8,99.7,8.61,0.69
1.21,0.02,70.49,102.07,1.96,3.72,14.8,14.98,2.78,99.96,8.42,0.94
2.14,0,97.62,102.05,3.38,5.26,15.06,14.8,4.61,100.42,8.48,1.18
1.98,0,97.56,101.32,3.03,5.41,15.17,14.97,4.3,100.38,7.32,1.15
3.16,0,101.44,103.62,5.18,5.64,15.49,15.89,7.88,100.36,5.13,1.15
2.62,0,103.27,103.69,4.45,5.85,15.74,16.39,6.92,100.56,4.46,1.2
1.43,0,101.14,102.03,2.3,5.56,15.97,16.5,3.24,100.55,5.43,1.27
1.41,0,90.26,99.12,2.3,4.86,16.95,17.76,3.34,100.34,7.14,1.16
1.28,0,97.88,99.11,2.15,5.3,17.89,18.72,3.28,100.56,6.71,1.12
1.2,0,96.7,97.39,2.2,5.24,18.98,20.41,3.5,100.68,6.53,1.15
1.23,0,96.24,96.84,2.21,5.3,19.08,20.47,3.56,100.49,6.23,1.16
0.91,0,95.89,96.87,1.62,5.3,18.51,19.48,2.52,100.13,6.47,1.2
1.56,0.08,55.52,94.14,2.57,2.91,16.38,16.25,3.58,100.18,8.3,0.85
2.35,0.07,36.73,90.25,3.55,1.89,14.42,14,4.73,100.3,8.48,0.58
1.52,0,88.23,91.24,2.37,4.98,15.35,15.6,3.35,100.6,6.96,1.04
1.3,0,73.8,87.8,2.07,4.07,15.86,16.23,2.9,100.94,5.74,0.91
1.55,0,74.43,86.8,2.43,4.1,16.4,16.76,3.34,100.83,5.98,0.95
1.95,0,70.96,87.17,3.02,3.87,15.79,15.38,4.09,100.51,6.9,0.95
2.67,0,51.49,85.55,3.95,2.73,13.59,12.55,5.16,100.36,7.26,0.72
